"Position[X] (m)","Position[Y] (m)","Position[Z] (m)","Velocity[i] (m/s)","Velocity[j] (m/s)","Vorticity[k] (/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
6.2831853071795862,2.5806722210586219e-16,0.0050000000000000001,0.22864382988608517,0.50278503717951151,0.35138213672543517,-25.725000866953323,6.2831853071795862,2.5806722210586219e-16,0.0050000000000000001
0.062829903424360567,0.062829903424360567,0.0049999999999234355,0.1988497150637451,0.41638375248768605,1.5008810693563972,3.9132635547962709,0.062829903424360567,0.062829903424360567,0.0049999999999234355
0.12566177639051801,0.062829923318722156,0.004999999999924217,0.25301430332831376,0.39313441182588604,1.7190892673621287,15.215213581367564,0.12566177639051801,0.062829923318722156,0.004999999999924217
0.18849364935667545,0.062829943213083744,0.0049999999999249976,0.30077022121389674,0.37217363542289073,1.9199193771092826,18.966309051258225,0.18849364935667545,0.062829943213083744,0.0049999999999249976
0.25132552232283295,0.062829963107445333,0.0049999999999257791,0.34008197539727963,0.35359747711606432,2.1508221796792584,15.615368228123195,0.25132552232283295,0.062829963107445333,0.0049999999999257791
0.31415739528899039,0.062829983001806922,0.0049999999999265606,0.37043794983595957,0.33758479877521208,2.5795831795192541,6.4035323729270957,0.31415739528899039,0.062829983001806922,0.0049999999999265606
0.37698926825514784,0.062830002896168496,0.0049999999999273412,0.39358311630198239,0.32289092388421953,2.72414118645254,-7.5819619982584099,0.37698926825514784,0.062830002896168496,0.0049999999999273412
0.43982114122130533,0.062830022790530085,0.0049999999999281227,0.41140202339494442,0.30768108465885685,2.2645472663518404,-26.209168991053001,0.43982114122130533,0.062830022790530085,0.0049999999999281227
0.50265301418746278,0.062830042684891674,0.0049999999999289042,0.42767180291134849,0.29046172513266699,1.8803455686613679,-48.736242281871995,0.50265301418746278,0.062830042684891674,0.0049999999999289042
0.56548488715362022,0.062830062579253262,0.0049999999999296857,0.44696166372877744,0.26999281758616328,1.6628558577090022,-75.500210111412898,0.56548488715362022,0.062830062579253262,0.0049999999999296857
0.62831676011977766,0.062830082473614851,0.0049999999999304672,0.47196499170141432,0.24656690145733068,1.063064288692839,-105.32290035187458,0.62831676011977766,0.062830082473614851,0.0049999999999304672
